Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,1,725.4,390470936,30716,196631588,92,84274754,1713126,5767700,651565900,5332281936,150597040,210,40975,114,18004655,22931,4818457,2669262
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,2,545.9,323703884,28113,174597137,92,116347040,3486739,674700,35223547,208339025,156380351,188,40778,111,7780028,28444,6623075,1118279
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,3,538.4,601309283,54331,211607669,92,122599116,2228730,3025400,275154237,3369120610,373784955,190,74333,172,5022621,5639,7208651,5285340
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,4,444.9,2031280633,269802,136569078,85,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394,1474799,210,190260277,203384,,11822942
Houdini,Houdini,Eminem,5/31/2024,5,423.3,107034922,7223,151469874,88,77373957,3670188,16400,,,112763851,182,12185,105,4493884,7006,207179,457017
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,6,410.1,670665438,105892,175421034,83,131148091,1392593,4202367,214943489,2938686633,2867222632,138,522042,152,138529362,50982,9438601,4517131
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,7,407.2,900158751,73118,201585714,86,308723145,4120760,,29584940,534915313,4601579812,280,383478,154,65447476,57372,,9990302
Gata Only,Gata Only,FloyyMenor,2/2/2024,8,375.8,675079153,40094,211236940,92,228382568,1439495,3500000,338546668,3804584163,2112581620,160,17221,53,3372428,5762,,6063523
Danza Kuduro - Cover,ııııııııııııııııııııı - ıııııııııııııııııı -,MUSIC LAB JPN,6/9/2024,9,355.7,1653018119,1,15,,,,,,,,,,,,,,
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,10,330.6,90676573,10400,184199419,86,32735244,988682,325800,121574500,974656200,174706874,191,3823,92,1005626,842,3679709,666302
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,11,322.1,250080413,16219,168766158,91,32229063,550191,,184500,2100000,327130768,157,62312,114,23155471,21172,1594605,963413
The Door,The Door,Teddy Swims,6/14/2024,12,320.2,111155129,2,263767,,,,,,,,,,2,,,,
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,13,316.3,221636195,13800,197280692,92,40022524,1307290,195300,45889000,360017000,342107131,244,41344,163,1354692,1219,1313357,450344
Like That,WE DON'T TRUST YOU,Future,3/22/2024,14,308.2,355186436,43025,108168634,88,98081493,1456177,,,,174491415,153,90237,109,26252264,18364,12038034,1963314
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,15,301.6,297185,277,24445,12,6736502312,16785489,3,1088,22234,,1,1057,,,,,3288
LALA,LALA - Single,Myke Towers,3/22/2023,16,299.9,925655569,103605,79944921,79,934302031,4294166,11054500,521725116,7499234052,2042145659,94,92231,83,12171026,13242,871978,2765808
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,17,297.6,395433400,12784,177932568,89,104673836,2484083,139300,25348800,207317000,268893710,221,129968,134,9961769,13437,377734,1210029
greedy,greedy,Tate McRae,9/14/2023,18,293.7,1258569694,105218,198845580,87,141646818,1514837,2294429,419319161,5456156211,2667285437,207,667329,150,44850379,12270,,6973652
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,19,292.6,91272461,6499,52287548,86,16038053,569377,941900,119740900,1225345800,5839168,76,181,33,283089,162,975891,257661
As It Was,As It Was,Harry Styles,3/31/2022,20,292,3301814535,407119,169783402,87,800899315,9101589,2755903,1633970617,15405881843,7289707052,455,1777811,189,132624772,79909,,14967379
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,21,290.5,1065399331,170890,121712197,78,240970670,2749668,3091732,652428798,7095564106,1063591802,158,400899,146,70291476,49111,,7559816
Espresso,Espresso,Sabrina Carpenter,4/12/2024,22,281.5,547882871,24425,262343414,95,107550212,1825761,209200,169144295,1379499000,422646034,298,37208,149,10362898,10848,1551157,1373085
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,23,279,1655575417,10,655,,,,,,,,,,,,,,
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,24,278.9,426700979,34044,152928632,86,35724356,437980,1470500,485200392,6518604175,1213175656,159,309497,177,13860535,36282,,2100708
Future,Future,official sound studio,1/10/2024,25,277.5,,1,2,,,,9453333,273236305,4306269694,,,,,,,,
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,26,268.1,7382759,3504,661084,35,4233958,69990,37621885,1636811753,22918660728,,1,,1,,,,633525
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,27,266.3,3107100349,451732,134793519,78,1256973582,14661425,7485966,2246991336,23712377029,4327058646,513,1510151,128,196783487,124922,36341585,
Baby Shark,ııııııııı ıııııı ıııııııııııı,Pinkfong,12/1/2015,28,265.7,720822868,60945,7530769,71,16322756555,48757673,7743800,281762094,6577639193,2166611,33,284,17,86458847,2234137,,2064420
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,29,262.8,591068364,26203,197494995,87,156882014,3080503,,,,578568464,194,200230,126,10106573,7689,1612479,1579980
Numb / Encore,Papercuts,JAY-Z,4/12/2024,30,256,1003215671,128,485454,,,,,,,,,,,179867721,87209,,4474248
Danza Kuduro - Cover,ııııııııııııııııııııııııııı ııııııııııııııııııııııııııı,LOVE BGM JPN,5/14/2024,31,249.8,1645079292,,,,,,,,,,,,,,,,
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,32,237.5,124893397,3479,25936342,82,359896095,4907193,212500,48327004,390081328,38798822,36,2188,26,130743,592,265670,191867
Water,Water,Tyla,7/28/2023,33,234.6,670376179,98450,150471020,83,265180930,2566846,2114363,369150956,3932956380,3031114430,225,486952,188,40418532,27555,6049784,6447136
Strangers,Strangers,Kenya Grace,9/1/2023,34,233.5,750154960,139141,103879363,79,118208096,1495758,1031447,196985853,2231749390,1745168821,163,378114,112,20228317,5331,10938075,7477917
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,35,231.6,532012790,23557,67488850,,62123098,923733,,,,384716227,221,151990,47,31032977,23005,1516649,
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,36,230,479417905,7,1519,,,,,,,,,,1,121250721,83632,,3692067
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,37,226.4,311928522,25766,180237463,96,62694868,837616,,27811667,378313942,243895569,149,,146,21453034,30180,4482348,1707213
Lose Control,Lose Control,Teddy Swims,6/23/2023,38,224.1,775135157,88239,180617454,87,139180960,1504385,396560,49060857,597513595,4016801205,215,605841,120,253538985,72429,5409388,10517831
fukumean,fukumean,Gunna,6/15/2023,39,221.1,759998727,188142,80392612,80,94699547,1222012,1237229,311252391,3281790327,140623676,123,265291,88,64456799,20518,33130829,3945184
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,40,214.5,3071214106,375201,64901153,71,3366447481,27240268,10342366,393814740,5861939942,2428166573,549,573733,121,373294159,844198,37430204,44842636
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,41,212.8,214237645,10871,202626837,92,11033725,251373,251200,71078500,443104700,148058631,247,3400,125,840442,2592,1369981,285858
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,42,211.2,170970614,27827,5784546,41,22280037,334523,14348249,948225544,12196985599,,2,672,9,270610,3170,,
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,43,209.6,1658229422,262248,239957538,83,466080689,4324989,728093,54258768,1051836430,1425853925,285,935190,168,139926990,31235,8007236,10973120
Daylight,Daylight,David Kushner,4/14/2023,44,207,1126820069,177800,85255689,82,274070101,3701289,2557115,285329503,2578518632,1205538057,163,259255,80,28924685,14634,9505098,8681350
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,45,206.2,997702304,105927,92834002,86,48093111,959175,3648759,857220853,5469808282,298259422,91,36285,110,6151267,9160,7980051,2682219
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,46,205.7,59314441,2572,183043096,83,22374807,1026097,,188200,1200000,110446147,199,2359,98,360163,758,9883,47115
Houdini,Houdini - Single,Dua Lipa,11/9/2023,47,205.1,493627071,45300,87874006,80,150571504,1575378,93500,35970610,386610043,3129834452,174,564640,127,25843941,3694,1991527,2389957
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,48,204.4,1655575417,9,85,,,,,,,,,,,,,,
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,49,203.6,304929492,43923,46133083,69,61986821,921044,13872768,390207653,5684815935,19218089,78,92638,36,7444354,7188,,2227494
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,50,203.5,1747093405,178114,49464650,74,9537135721,61799279,799338,78304409,1143297071,569548901,179,121234,118,266603596,2359900,,19622551
euphoria,euphoria,Kendrick Lamar,4/30/2024,51,202.1,168434320,17168,62516401,86,53604746,1846535,,,,174375427,65,6408,31,3156727,4843,4304870,654482
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,52,200.3,104271,249,8585,25,2457026781,,190,36666,393580,,,12,,,,,1881
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,53,198,1391688322,163876,130963116,77,902742581,8099187,599,48035,2857920,750030685,316,1107265,146,52073859,41487,5820026,3521951
Shape of You,Shape of You,Ed Sheeran,1/6/2017,54,195.1,3909458734,316378,148037882,80,8013997219,45770887,2270315,194420058,2320856331,2294804623,465,402829,115,733565655,651557,78149375,1146246
Mitu,Mitu - Single,Maian,1/19/2023,55,194.3,55346,42,16861,13,2432265978,8162101,,,,,,53,,,,,200
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,56,194,4281468720,590392,165544011,83,833807130,10093211,2882064,337322563,3501177394,2258085924,859,1695240,184,489299762,319634,28659471,28994660
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,57,192.3,1337619917,228295,64806723,80,193982443,2023998,423714,148085419,1268862678,444033037,152,952186,66,77382416,28694,,6205060
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,58,190,,2,41206,,52480069,82092,,,,,,,,,,,
